Year,Country,gdp,expectancy,undernourishment,unemployment,co2
YR2007,Paraguay,3194.26298162817,71.106,9.4,4.71,0.665546242539326
YR2007,Bolivia,1351.03515410788,65.027,23.9,2.643,1.22616760606775
YR2007,"Venezuela, RB",8369.23526829668,73.058,4.8,7.28,5.17304625665806
YR2008,United States,48570.0459804586,78.0390243902439,2.5,5.78,18.278491260823
YR2008,Canada,46710.5055759013,80.7246341463415,2.5,6.14,16.5594262937317
YR2008,Uruguay,9328.06585662206,76.623,2.5,8.03,2.323083720459
YR2008,Chile,10783.1708210632,78.484,3.4,9.29,4.0807703429627
YR2008,Argentina,8977.50685093365,75.641,3.3,7.84,4.15237520977984
YR2008,Costa Rica,6841.91145979684,78.445,3.9,4.78,1.66935403797623
YR2008,Mexico,10119.8210567984,74.152,4.5,3.87,4.18972731869134
YR2008,Brazil,8801.75947547502,72.715,5.1,8.27,1.93921527398251
YR2008,Peru,4184.88598248749,73.377,11.6,4.03,1.32931868624742
YR2008,Ecuador,4260.43318396471,74.983,21.3,3.92,2.18586215975846
YR2008,Colombia,5534.68944688199,74.295,11.3,10.52,1.37618781817215
YR2008,Paraguay,4360.42910071309,71.384,9.6,4.42,0.765825802972748
YR2008,Bolivia,1687.57856734657,65.446,24.7,2.6,1.28880928502976
YR2008,"Venezuela, RB",11310.7781703527,72.436,2.8,6.25,5.40964428333197
YR2009,United States,47194.9433547336,78.390243902439,2.5,9.25,16.8086814210194
YR2009,Canada,40876.3101540295,81.0660975609756,2.5,8.34,15.5045058721079
YR2009,Uruguay,9780.73947340076,76.738,2.5,7.74,2.29232727181387
YR2009,Chile,10182.8605646819,78.741,3.5,11.31,3.88812820095611
YR2009,Argentina,8184.38988923991,75.936,3.2,8.65,3.84834822677955
YR2009,Costa Rica,6737.86075359038,78.672,4.3,7.71,1.5775366322261
YR2009,Mexico,8104.92257319862,74.119,4.7,5.36,4.03759396221293
YR2009,Brazil,8569.90180523381,72.948,4.3,9.42,1.79932814185315
YR2009,Peru,4164.97048299155,73.466,9.7,3.96,1.41921946066586
YR2009,Ecuador,4240.70259271564,75.184,16.0,4.61,2.34002900134208
YR2009,Colombia,5245.9516649172,74.742,12.1,11.32,1.41424194119423
YR2009,Paraguay,3920.18607347104,71.635,8.8,5.46,0.801024239229513
YR2009,Bolivia,1725.14628617645,65.88,22.9,2.97,1.35011163213736
YR2009,"Venezuela, RB",11641.7991472317,72.579,2.5,6.1,5.38643327219689
YR2010,United States,48650.6431283336,78.5414634146342,2.5,9.63,17.4317369879177
YR2010,Canada,47562.0834253057,81.3221951219512,2.5,8.06,15.7945376619227
YR2010,Uruguay,12512.5941268441,76.858,2.5,7.16,1.87427799672558
YR2010,Chile,12767.7820406263,78.501,3.4,8.41,4.10188399757659
YR2010,Argentina,10385.9644319555,75.721,3.1,7.71,4.09984413971278
YR2010,Costa Rica,8147.24398481032,78.67,4.6,7.17,1.53723769279563
YR2010,Mexico,9399.96470859669,74.19,4.8,5.3,4.11321091425038
YR2010,Brazil,11249.2937410718,73.182,3.7,8.034,2.02660566892286
YR2010,Peru,5047.2046433225,73.711,8.7,3.6,1.53948542250294
YR2010,Ecuador,4640.24634437845,75.43,12.3,4.09,2.48532564443912
YR2010,Colombia,6392.75802564032,75.033,12.9,10.98,1.43131795380357
YR2010,Paraguay,4702.91576988272,71.887,7.7,4.57,0.8742656163622
YR2010,Bolivia,1922.05866181583,66.162,20.4,2.614,1.43811128924503
YR2010,"Venezuela, RB",13692.9149666211,72.89,2.5,7.11,5.71483455593382
YR2011,United States,50065.9665041742,78.6414634146341,2.5,8.95,16.604189616843
YR2011,Canada,52223.696112356,81.4826829268293,2.5,7.51,15.9982717192369
YR2011,Uruguay,14975.5625602187,76.983,2.5,6.31,2.26255839045084
YR2011,Chile,14628.5724573037,79.11,3.3,7.32,4.45280082368416
YR2011,Argentina,12848.7404762598,76.124,2.9,7.18,4.28102814513
YR2011,Costa Rica,9137.45510202159,79.348,5.0,9.52,1.5878028840627
YR2011,Mexico,10341.5002378026,74.365,4.7,5.17,4.19098978654326
YR2011,Brazil,13200.5581661879,73.343,3.2,7.58,2.11062775987293
YR2011,Peru,5826.83230656078,74.133,7.7,3.48,1.64284749150045
YR2011,Ecuador,5202.65645902066,75.743,8.4,3.46,2.43452304700543
YR2011,Colombia,7392.9435995632,75.32,12.3,10.11,1.53989837625496
YR2011,Paraguay,5772.99550988836,72.131,7.2,4.67,0.892890907998869
YR2011,Bolivia,2304.98229547312,66.534,17.3,2.25,1.53821869932666
YR2011,"Venezuela, RB",10877.1123638816,72.913,2.5,6.9,5.5003686225388
YR2012,United States,51784.4185738837,78.7414634146342,2.5,8.07,15.789760151839
YR2012,Canada,52669.0899632316,81.6636585365854,2.5,7.29,15.7368239449526
YR2012,Uruguay,16087.2520777973,77.111,2.5,6.45,2.52665795149583
YR2012,Chile,15406.4928361503,79.023,3.1,6.64,4.52160278209186
YR2012,Argentina,13082.664325572,76.467,2.8,7.22,4.26411100150765
YR2012,Costa Rica,9971.65165625728,79.283,5.0,9.11,1.57216378945795
YR2012,Mexico,10376.0904951074,74.574,4.6,4.89,4.20241354590373
YR2012,Brazil,12327.5155558345,73.552,3.0,7.25,2.2714176835721
YR2012,Peru,6475.71941703429,74.544,6.7,3.24,1.61752150592736
YR2012,Ecuador,5678.45572070003,76.062,8.8,3.23,2.39507751382518
YR2012,Colombia,8096.80150977527,75.597,10.7,9.74,1.53384649831834
YR2012,Paraguay,5621.24402638513,72.454,7.2,4.09,0.874070327427751
YR2012,Bolivia,2562.46678423329,66.705,16.7,2.07,1.60468176145447
YR2012,"Venezuela, RB",12937.9275972349,73.036,2.5,6.6,6.1461208602821
YR2013,United States,53291.1276891406,78.7414634146342,2.5,7.37,16.1111752638496
YR2013,Canada,52635.1749580433,81.7448780487805,2.5,7.07,15.8408097562138
YR2013,Uruguay,18140.8919180672,77.24,2.5,6.44,2.17604504936147
YR2013,Chile,15833.2759194461,79.339,3.1,6.2,4.74008312428523
YR2013,Argentina,13080.2547323367,76.491,2.6,7.1,4.34225013023383
YR2013,Costa Rica,10633.2665598785,79.403,4.9,8.22,1.62342547847402
YR2013,Mexico,10865.6872912453,74.739,4.2,4.91,4.05605522675517
YR2013,Brazil,12258.5648491717,73.918,2.8,7.07,2.4134465369818
YR2013,Peru,6697.18768268879,74.967,5.7,3.57,1.65625408117878
YR2013,Ecuador,6050.3546113274,76.369,8.8,3.08,2.5250351571193
YR2013,Colombia,8263.64192942212,75.827,8.9,9.05,1.68098788159418
YR2013,Paraguay,6435.82655022784,72.757,7.4,4.38,0.882701828211158
YR2013,Bolivia,2853.79716191598,67.021,16.5,2.44,1.68698792155035
YR2013,"Venezuela, RB",12433.9807853398,73.196,2.5,7.54,6.04673480188247
YR2014,United States,55123.8497869046,78.8414634146341,2.5,6.17,16.0409167568247
YR2014,Canada,50955.9983232404,81.7843902439025,2.5,6.91,15.8521772244521
YR2014,Uruguay,18131.5788465661,77.366,2.5,6.55,1.91658248964667
YR2014,Chile,14666.3431168586,79.473,3.0,6.65,4.3285934591455
YR2014,Argentina,12334.7982453893,76.755,2.5,7.27,4.20911189491323
YR2014,Costa Rica,10737.6788753949,78.774,4.7,8.5,1.61681138693653
YR2014,Mexico,11076.1341141975,74.797,4.4,4.81,3.8923552480392
YR2014,Brazil,12071.4046547485,74.306,2.5,6.76,2.51459195963426
YR2014,Peru,6614.83049889676,75.333,5.4,3.21,1.75159405113357
YR2014,Ecuador,6374.6314856366,76.622,8.7,3.48,2.61945204390978
YR2014,Colombia,8167.47284156278,76.043,7.5,8.57,1.71582096359122
YR2014,Paraguay,6629.4265185753,72.878,7.1,5.03,0.924028534552806
YR2014,Bolivia,3022.46288443562,67.163,15.6,2.02,1.78421940046278
YR2014,"Venezuela, RB",15975.7293753361,72.853,4.5,6.865,5.93629544714916
YR2015,United States,56762.7294515989,78.690243902439,2.5,5.28,15.5600154435853
YR2015,Canada,43596.1355365546,81.8156097560976,2.5,6.91,15.6499072848632
YR2015,Uruguay,16950.7533762432,77.483,2.5,7.49,1.95637850746058
YR2015,Chile,13569.9481274733,79.746,3.1,6.49,4.60323610513279
YR2015,Argentina,13789.060424772,76.76,2.5,7.524,4.30191380564475
YR2015,Costa Rica,11529.9551735671,79.086,4.1,8.42,1.53984215693524
YR2015,Mexico,9753.40056232226,74.682,5.0,4.31,3.92536832553423
YR2015,Brazil,8783.21441310718,74.332,2.5,8.56,2.36536062099671
YR2015,Peru,6180.11879937394,75.621,5.9,3.27,1.7763005780535
YR2015,Ecuador,6130.58667556768,76.789,9.0,3.62,2.55560326309705
YR2015,Colombia,6228.65162186096,76.257,6.5,8.3,1.71939023077553
YR2015,Paraguay,5861.38972416093,73.191,7.4,4.56,1.03068169862171
YR2015,Bolivia,2975.64881143063,67.318,14.3,3.11,1.8036741828399
YR2015,"Venezuela, RB",15975.7293753361,73.006,11.3,6.077,5.34321708069607
YR2016,United States,57866.7449341091,78.5390243902439,2.5,4.87,15.1498827249693
YR2016,Canada,42315.6037056806,81.9248780487805,2.5,7.0,15.4218225254765
YR2016,Uruguay,16837.9403803049,77.571,2.5,7.84,1.91140810471485
YR2016,Chile,13785.6875977318,80.079,3.1,6.73,4.78352570264377
YR2016,Argentina,12790.2640639201,76.308,2.6,8.109,4.20181586904703
YR2016,Costa Rica,11899.8139783719,79.459,3.6,8.09,1.61952841186564
YR2016,Mexico,8875.08206876137,74.412,5.8,3.86,3.92032302445388
YR2016,Brazil,8680.73542054827,74.442,2.5,11.74,2.16125984748939
YR2016,Peru,6163.86117862599,75.789,6.9,3.74,1.8263804846975
YR2016,Ecuador,6079.08873612077,76.763,9.7,4.6,2.42048080897419
YR2016,Colombia,5936.26102166829,76.471,6.0,8.69,1.75379580314977
YR2016,Paraguay,5759.01833315657,73.534,7.7,5.25,1.14776478210326
YR2016,Bolivia,3013.50270721666,67.628,13.1,3.5,1.8936936513003
YR2016,"Venezuela, RB",15975.7293753361,72.058,16.4,5.32,4.89458472114406
YR2017,United States,59907.754260885,78.5390243902439,2.5,4.36,14.8232454359428
YR2017,Canada,45129.4292980922,81.8329268292683,2.5,6.34,15.5471947150649
YR2017,Uruguay,18995.3970195554,77.625,2.5,7.89,1.78358950382795
YR2017,Chile,15045.5278507601,80.35,2.9,6.95,4.74380241866313
YR2017,Argentina,14613.035714704,76.833,3.1,8.35,4.07011168693629
YR2017,Costa Rica,12118.1336180615,79.377,3.2,7.73,1.63671577915361
YR2017,Mexico,9434.37817948243,74.138,6.1,3.42,3.86275941197886
YR2017,Brazil,9896.7175109967,74.827,2.5,12.93,2.18548661863967
YR2017,Peru,6676.3077877014,75.879,7.6,3.69,1.71724301281113
YR2017,Ecuador,6246.40425217932,76.972,10.7,3.84,2.30876380731708
YR2017,Colombia,6449.97098726073,76.646,5.9,8.87,1.56507517599547
YR2017,Paraguay,6136.05835430284,73.644,7.8,4.61,1.24632517460731
YR2017,Bolivia,3280.0082139387,67.701,12.5,3.65,1.89131542884796
YR2017,"Venezuela, RB",15975.7293753361,71.943,22.2,5.05,4.57368123535075
YR2018,United States,62823.309438197,78.6390243902439,2.5,3.9,15.2225180998504
YR2018,Canada,46547.7951820036,81.8439024390244,2.5,5.83,15.6366541621759
YR2018,Uruguay,19026.04961089,77.611,2.5,8.34,1.91001452564632
YR2018,Chile,15795.7081412484,80.133,2.7,7.21,4.62965705867727
YR2018,Argentina,11795.1628852236,76.999,3.4,9.22,3.97565074444479
YR2018,Costa Rica,12383.1499469519,79.484,3.2,9.01,1.62012119663525
YR2018,Mexico,9857.00748742213,74.015,6.0,3.27,3.58748930492536
YR2018,Brazil,9121.02009249958,75.109,2.5,12.46,2.06426147881772
YR2018,Peru,6912.10462268352,76.009,7.6,3.49,1.69513088210562
YR2018,Ecuador,6321.34940071717,77.094,11.6,3.53,2.36682982605683
YR2018,Colombia,6782.0379203319,76.748,6.2,9.11,1.61039151744768
YR2018,Paraguay,6242.96150239538,73.568,7.8,6.22,1.29748167406657
YR2018,Bolivia,3471.0069506501,67.748,12.1,3.52,1.88518817031758
YR2018,"Venezuela, RB",15975.7293753361,71.979,22.7,5.02,4.36396145291438
YR2019,United States,65120.3946628653,78.7878048780488,2.5,3.67,14.6733807134556
YR2019,Canada,46374.1527517191,82.2287804878049,2.5,5.66,15.0527469447143
YR2019,Uruguay,18098.361548609,77.508,2.5,8.73,1.98538155745128
YR2019,Chile,14627.14501648,80.326,2.6,7.27,4.82762007480769
YR2019,Argentina,9963.67423069626,77.284,3.5,9.84,3.74202981162433
YR2019,Costa Rica,12669.3411617396,79.427,3.4,10.81,1.56482445188662
YR2019,Mexico,10145.1526279593,74.202,6.0,3.48,3.6121651406375
YR2019,Brazil,8845.3239312417,75.338,2.6,12.05,2.05077012882977
YR2019,Peru,6955.88176963678,76.156,8.1,3.38,1.73564177469023
YR2019,Ecuador,6233.25816692363,77.297,13.7,3.81,2.28505501120289
YR2019,Colombia,6436.50921529531,76.752,7.2,9.96,1.57782014077396
YR2019,Paraguay,5807.83881414187,73.621,8.2,6.59,1.24066887329392
YR2019,Bolivia,3472.38083136442,67.841,11.9,3.68,1.85346150629409
YR2019,"Venezuela, RB",15975.7293753361,72.161,24.9,5.092,3.71059907013341
